run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,0,0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,3,703767200.0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,6,1515712800.0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,9,2350068800.0,0.98,1.0,0.99
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,12,3184511200.0,0.98,0.98,0.98
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,15,4034516800.0,0.9,0.8400000000000001,0.87
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,18,4900624000.0,0.9,0.88,0.89
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,21,5772872800.0,0.94,0.8400000000000001,0.89
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,24,6645276800.0,0.86,0.88,0.87
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,27,7517914400.0,0.8200000000000001,0.9,0.86
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,30,8392964800.0,0.78,0.8,0.79
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,33,9269225600.0,0.74,0.8200000000000001,0.78
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,36,10152012000.0,0.9,0.76,0.8300000000000001
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,39,11031097600.0,0.74,0.8,0.77
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,42,11914339200.0,0.76,0.64,0.7
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,45,12796421600.0,0.9,0.58,0.74
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,48,13678634400.0,0.8,0.56,0.6799999999999999
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,51,14566307200.0,0.76,0.66,0.71
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,54,15449593600.0,0.74,0.44,0.59
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,57,16330120000.0,0.6799999999999999,0.54,0.61
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,60,17220204800.0,0.74,0.56,0.65
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,63,18109656000.0,0.78,0.54,0.66
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,66,18996893600.0,0.72,0.4,0.56
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,69,19883483200.0,0.74,0.52,0.63
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,72,20770034400.0,0.6799999999999999,0.5,0.59
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,75,21656921600.0,0.6,0.48,0.54
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,78,22545152000.0,0.6,0.64,0.62
DEFAULT_5000_games,100,28849484000.0,DYN_WINDOW,81,23430798400.0,0.54,0.48,0.51
