run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,0,0.0,ENDGAME_PLAYOUTS_uniat100_few_games,0,0.0,0.0,0.76,0.38
DEFAULT_5000_games,1,190916800.0,ENDGAME_PLAYOUTS_uniat100_few_games,6,208311546.90577585,0.0,0.0,0.0
DEFAULT_5000_games,2,405968000.0,ENDGAME_PLAYOUTS_uniat100_few_games,10,407358429.58025664,0.0,0.0,0.0
DEFAULT_5000_games,3,664606400.0,ENDGAME_PLAYOUTS_uniat100_few_games,14,652968253.4554118,0.0,0.0,0.0
DEFAULT_5000_games,4,928930400.0,ENDGAME_PLAYOUTS_uniat100_few_games,18,967598245.34162,0.0,0.0,0.0
DEFAULT_5000_games,5,1192283200.0,ENDGAME_PLAYOUTS_uniat100_few_games,20,1150103701.860012,0.0,0.0,0.0
DEFAULT_5000_games,6,1456764000.0,ENDGAME_PLAYOUTS_uniat100_few_games,23,1462681037.967761,0.0,0.0,0.0
DEFAULT_5000_games,7,1721890400.0,ENDGAME_PLAYOUTS_uniat100_few_games,25,1696092581.5101392,0.0,0.0,0.0
DEFAULT_5000_games,8,1994533600.0,ENDGAME_PLAYOUTS_uniat100_few_games,27,1943205034.6690657,0.020000000000000018,0.0,0.010000000000000009
DEFAULT_5000_games,9,2266897600.0,ENDGAME_PLAYOUTS_uniat100_few_games,29,2207783986.765112,0.0,0.0,0.0
DEFAULT_5000_games,10,2543301600.0,ENDGAME_PLAYOUTS_uniat100_few_games,31,2489015434.6750064,0.0,0.020000000000000018,0.010000000000000009
DEFAULT_5000_games,11,2820981600.0,ENDGAME_PLAYOUTS_uniat100_few_games,33,2788148357.0202374,0.020000000000000018,0.0,0.010000000000000009
DEFAULT_5000_games,12,3101368000.0,ENDGAME_PLAYOUTS_uniat100_few_games,35,3100415634.845068,0.0,0.03999999999999998,0.020000000000000018
