run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,0,0.0,1.0,1.0,1.0
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,3,80961439.52682272,1.0,1.0,1.0
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,6,208311546.90577585,1.0,1.0,1.0
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,9,356208884.73269165,1.0,1.0,1.0
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,12,523210959.13339627,1.0,1.0,1.0
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,15,723282291.06517,1.0,1.0,1.0
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,18,967598245.34162,0.96,0.98,0.97
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,21,1251750650.2286553,0.9,0.94,0.9199999999999999
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,24,1576735272.0430753,0.9,0.88,0.89
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,27,1943205034.6690657,0.78,0.78,0.78
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,30,2346100979.8878055,0.78,0.74,0.76
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,33,2788148357.0202374,0.7,0.64,0.67
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,36,3261242619.2007976,0.74,0.6,0.67
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,39,3771546716.8269515,0.58,0.6,0.59
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,42,4320165796.057036,0.48,0.44,0.46
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,45,4897830684.692716,0.42,0.4,0.41000000000000003
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,48,5511512679.668007,0.44,0.33999999999999997,0.39
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,51,6158680732.591249,0.44,0.3,0.37
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,54,6831691250.604629,0.14,0.32,0.22999999999999998
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,57,7534990939.768071,0.36,0.32,0.33999999999999997
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,60,8269418069.307668,0.32,0.33999999999999997,0.32999999999999996
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,63,9028581894.887192,0.28,0.3,0.29000000000000004
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,66,9805442335.983784,0.28,0.26,0.27
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,69,10606109212.268919,0.3,0.33999999999999997,0.32
DEFAULT_5000_games,50,14277050400.0,ENDGAME_PLAYOUTS_uniat100_few_games,72,11426774551.077818,0.33999999999999997,0.32,0.32999999999999996
