run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,0,0.0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,3,80961439.52682272,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,6,208311546.90577585,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,9,356208884.73269165,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,12,523210959.13339627,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,15,723282291.06517,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,18,967598245.34162,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,21,1251750650.228655,0.92,0.96,0.94
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,24,1576735272.043075,0.92,0.8400000000000001,0.88
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,27,1943205034.6690657,0.92,0.94,0.93
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,30,2346100979.887805,0.8,0.86,0.8300000000000001
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,33,2788148357.020237,0.8400000000000001,0.8200000000000001,0.8300000000000001
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,36,3261242619.2007976,0.78,0.8200000000000001,0.8
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,39,3771546716.826952,0.72,0.6799999999999999,0.7
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,42,4320165796.057036,0.8200000000000001,0.6799999999999999,0.75
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,45,4897830684.692716,0.64,0.52,0.58
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,48,5511512679.668007,0.54,0.56,0.55
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,51,6158680732.591249,0.66,0.38,0.52
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,54,6831691250.604629,0.56,0.42,0.49
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,57,7534990939.768071,0.6799999999999999,0.5,0.59
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,60,8269418069.307668,0.66,0.42,0.54
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,63,9028581894.887192,0.6,0.4,0.5
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,66,9805442335.983784,0.58,0.4,0.49
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,69,10606109212.26892,0.6,0.42,0.51
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,72,11426774551.077818,0.58,0.42,0.5
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,75,12257394902.330278,0.58,0.44,0.51
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,78,13102661929.358423,0.5,0.36,0.43
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,81,13959397868.327637,0.72,0.44,0.58
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,84,14828159891.975311,0.62,0.4,0.51
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,87,15701987850.901628,0.6,0.32,0.46
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,90,16571999474.971426,0.6799999999999999,0.36,0.52
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,93,17445873413.107975,0.42,0.36,0.39
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,96,18331517624.167843,0.5,0.33999999999999997,0.42
DEFAULT_5000_games,100,28849484000.0,ENDGAME_PLAYOUTS_uniat100_few_games,99,19212892270.731056,0.56,0.36,0.46
