run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,0,0,ENDGAME_PLAYOUTS_uniat100_few_games,0,0,0.0,0.76,0.38
DEFAULT_5000_games,1,190916800.0,ENDGAME_PLAYOUTS_uniat100_few_games,1,17565895.706352066,0.2,0.38,0.29000000000000004
DEFAULT_5000_games,2,405968000.0,ENDGAME_PLAYOUTS_uniat100_few_games,2,43326479.571966775,0.48,0.42,0.45
DEFAULT_5000_games,3,664606400.0,ENDGAME_PLAYOUTS_uniat100_few_games,3,80961439.52682272,0.56,0.64,0.6
DEFAULT_5000_games,4,928930400.0,ENDGAME_PLAYOUTS_uniat100_few_games,4,121632280.66056886,0.52,0.32,0.42
DEFAULT_5000_games,5,1192283200.0,ENDGAME_PLAYOUTS_uniat100_few_games,5,163417845.10095158,0.62,0.64,0.63
DEFAULT_5000_games,6,1456764000.0,ENDGAME_PLAYOUTS_uniat100_few_games,6,208311546.90577582,0.74,0.7,0.72
DEFAULT_5000_games,7,1721890400.0,ENDGAME_PLAYOUTS_uniat100_few_games,7,257127340.48435286,0.6799999999999999,0.64,0.66
DEFAULT_5000_games,8,1994533600.0,ENDGAME_PLAYOUTS_uniat100_few_games,8,306547259.6438246,0.76,0.74,0.75
DEFAULT_5000_games,9,2266897600.0,ENDGAME_PLAYOUTS_uniat100_few_games,9,356208884.73269165,0.8400000000000001,0.74,0.79
DEFAULT_5000_games,10,2543301600.0,ENDGAME_PLAYOUTS_uniat100_few_games,10,407358429.58025664,0.72,0.62,0.67
DEFAULT_5000_games,11,2820981600.0,ENDGAME_PLAYOUTS_uniat100_few_games,11,463339890.061231,0.76,0.48,0.62
DEFAULT_5000_games,12,3101368000.0,ENDGAME_PLAYOUTS_uniat100_few_games,12,523210959.13339627,0.64,0.62,0.63
DEFAULT_5000_games,13,3383556000.0,ENDGAME_PLAYOUTS_uniat100_few_games,13,588148597.7468879,0.7,0.6,0.65
DEFAULT_5000_games,14,3666845600.0,ENDGAME_PLAYOUTS_uniat100_few_games,14,652968253.4554118,0.62,0.54,0.58
DEFAULT_5000_games,15,3952952800.0,ENDGAME_PLAYOUTS_uniat100_few_games,15,723282291.06517,0.64,0.4,0.52
DEFAULT_5000_games,16,4237889600.0,ENDGAME_PLAYOUTS_uniat100_few_games,16,799418531.0575446,0.6799999999999999,0.44,0.56
DEFAULT_5000_games,17,4523081600.0,ENDGAME_PLAYOUTS_uniat100_few_games,17,879760663.8656192,0.6799999999999999,0.52,0.6
DEFAULT_5000_games,18,4808712800.0,ENDGAME_PLAYOUTS_uniat100_few_games,18,967598245.34162,0.6799999999999999,0.44,0.56
DEFAULT_5000_games,19,5096126400.0,ENDGAME_PLAYOUTS_uniat100_few_games,19,1058093231.7341137,0.52,0.38,0.45
DEFAULT_5000_games,20,5383753600.0,ENDGAME_PLAYOUTS_uniat100_few_games,20,1150103701.860012,0.36,0.38,0.37
DEFAULT_5000_games,21,5669898400.0,ENDGAME_PLAYOUTS_uniat100_few_games,21,1251750650.2286553,0.54,0.36,0.45
DEFAULT_5000_games,22,5958340000.0,ENDGAME_PLAYOUTS_uniat100_few_games,22,1356051534.4570594,0.58,0.48,0.53
DEFAULT_5000_games,23,6245835200.0,ENDGAME_PLAYOUTS_uniat100_few_games,23,1462681037.967761,0.36,0.26,0.31
DEFAULT_5000_games,24,6533163200.0,ENDGAME_PLAYOUTS_uniat100_few_games,24,1576735272.0430753,0.24,0.33999999999999997,0.29000000000000004
DEFAULT_5000_games,25,6821653600.0,ENDGAME_PLAYOUTS_uniat100_few_games,25,1696092581.5101392,0.44,0.4,0.42
DEFAULT_5000_games,26,7111932000.0,ENDGAME_PLAYOUTS_uniat100_few_games,26,1815890607.212396,0.42,0.38,0.4
DEFAULT_5000_games,27,7401568000.0,ENDGAME_PLAYOUTS_uniat100_few_games,27,1943205034.6690657,0.44,0.44,0.44
DEFAULT_5000_games,28,7693031200.0,ENDGAME_PLAYOUTS_uniat100_few_games,28,2074962191.229434,0.46,0.42,0.44
DEFAULT_5000_games,29,7982316800.0,ENDGAME_PLAYOUTS_uniat100_few_games,29,2207783986.765112,0.33999999999999997,0.56,0.45
DEFAULT_5000_games,30,8274214400.0,ENDGAME_PLAYOUTS_uniat100_few_games,30,2346100979.8878055,0.38,0.36,0.37
DEFAULT_5000_games,31,8564389600.0,ENDGAME_PLAYOUTS_uniat100_few_games,31,2489015434.6750064,0.28,0.33999999999999997,0.31
DEFAULT_5000_games,32,8856465600.0,ENDGAME_PLAYOUTS_uniat100_few_games,32,2636157966.3385077,0.46,0.5,0.48
DEFAULT_5000_games,33,9147961600.0,ENDGAME_PLAYOUTS_uniat100_few_games,33,2788148357.0202374,0.48,0.4,0.44
DEFAULT_5000_games,34,9440361600.0,ENDGAME_PLAYOUTS_uniat100_few_games,34,2942710464.7262826,0.42,0.32,0.37
DEFAULT_5000_games,35,9732538400.0,ENDGAME_PLAYOUTS_uniat100_few_games,35,3100415634.845068,0.44,0.4,0.42
DEFAULT_5000_games,36,10027982400.0,ENDGAME_PLAYOUTS_uniat100_few_games,36,3261242619.2007976,0.42,0.3,0.36
DEFAULT_5000_games,37,10320676800.0,ENDGAME_PLAYOUTS_uniat100_few_games,37,3426288547.3865576,0.38,0.48,0.43
DEFAULT_5000_games,38,10613939200.0,ENDGAME_PLAYOUTS_uniat100_few_games,38,3595852221.4228477,0.38,0.36,0.37
