run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,0,0,ENDGAME_PLAYOUTS_uniat100_few_games,0,0,0.0,0.76,0.38
DEFAULT_5000_games,1,190916800.0,ENDGAME_PLAYOUTS_uniat100_few_games,2,43326479.571966775,0.0,0.0,0.0
DEFAULT_5000_games,2,405968000.0,ENDGAME_PLAYOUTS_uniat100_few_games,3,80961439.52682272,0.15999999999999998,0.14,0.15000000000000002
DEFAULT_5000_games,3,664606400.0,ENDGAME_PLAYOUTS_uniat100_few_games,4,121632280.66056886,0.2,0.3,0.25
DEFAULT_5000_games,4,928930400.0,ENDGAME_PLAYOUTS_uniat100_few_games,5,163417845.10095158,0.32,0.36,0.33999999999999997
DEFAULT_5000_games,5,1192283200.0,ENDGAME_PLAYOUTS_uniat100_few_games,7,257127340.48435286,0.32,0.24,0.28
DEFAULT_5000_games,6,1456764000.0,ENDGAME_PLAYOUTS_uniat100_few_games,8,306547259.6438246,0.38,0.26,0.32
DEFAULT_5000_games,7,1721890400.0,ENDGAME_PLAYOUTS_uniat100_few_games,9,356208884.73269165,0.54,0.62,0.58
DEFAULT_5000_games,8,1994533600.0,ENDGAME_PLAYOUTS_uniat100_few_games,10,407358429.58025664,0.48,0.5,0.49
DEFAULT_5000_games,9,2266897600.0,ENDGAME_PLAYOUTS_uniat100_few_games,11,463339890.061231,0.52,0.38,0.45
DEFAULT_5000_games,10,2543301600.0,ENDGAME_PLAYOUTS_uniat100_few_games,12,523210959.13339627,0.48,0.44,0.46
DEFAULT_5000_games,11,2820981600.0,ENDGAME_PLAYOUTS_uniat100_few_games,13,588148597.7468879,0.66,0.56,0.61
DEFAULT_5000_games,12,3101368000.0,ENDGAME_PLAYOUTS_uniat100_few_games,13,588148597.7468879,0.6799999999999999,0.5,0.59
