run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,0,0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,3,58928268.39786178,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,6,132473208.50701468,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,9,205839782.25737345,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,12,277905149.3604684,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,15,350519646.3218175,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,18,423690219.52466553,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,21,500323962.6086481,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,24,582134686.0358188,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,27,661861994.9889557,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,30,750775353.941425,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,33,840568196.3804263,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,36,937160506.0539894,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,39,1045536678.3582767,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,42,1169178194.4568894,0.98,1.0,0.99
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,45,1309194850.6692183,0.94,0.96,0.95
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,48,1479578655.6395185,0.96,0.98,0.97
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,51,1666587122.944536,0.88,0.98,0.9299999999999999
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,54,1895817063.02415,0.94,1.0,0.97
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,57,2160699036.563187,0.9199999999999999,0.9199999999999999,0.9199999999999999
DEFAULT_5000_games,100,28849484000.0,ENDGAME_big_window,60,2470789433.684384,0.8400000000000001,0.9199999999999999,0.88
