run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,0,0.0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,3,58798784.64834911,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,6,137607189.39956525,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,9,220558444.5512817,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,12,307968951.8401456,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,15,410192828.7192064,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,18,529342744.2182048,1.0,0.98,0.99
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,21,676713306.6965182,1.0,0.98,0.99
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,24,833302176.2216349,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,27,1023438316.826364,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,30,1255670432.7426472,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,33,1523645603.8247929,0.92,0.94,0.93
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,36,1828017256.564161,0.92,0.92,0.92
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,39,2178537275.222761,0.88,0.8200000000000001,0.85
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,42,2566897180.587477,0.9,0.8200000000000001,0.86
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,45,2993579575.064264,0.86,0.86,0.86
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,48,3456834150.2995744,0.8200000000000001,0.8,0.81
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,51,3958077319.3679,0.72,0.78,0.75
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,54,4493542826.081245,0.76,0.62,0.69
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,57,5061736752.21526,0.7,0.62,0.66
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,60,5668947620.491781,0.78,0.56,0.67
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,63,6312952169.879582,0.62,0.56,0.59
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,66,6988849725.51532,0.7,0.44,0.5700000000000001
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,69,7701443347.530851,0.6,0.44,0.52
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,72,8449657582.08163,0.66,0.36,0.51
DEFAULT_5000_games,100,28849484000.0,ENDGAME_low_pow,75,9231017507.169832,0.66,0.36,0.51
