run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,100,28849484000.0,MONOTONE,0,0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,3,78381156.8000009,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,6,187164444.80000097,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,9,318904958.3999993,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,12,471194820.7999977,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,15,647120943.9999971,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,18,843875859.1999967,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,21,1062407270.3999963,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,24,1305577538.3999946,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,27,1571945223.999995,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,30,1863027697.5999935,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,MONOTONE,33,2181673466.399995,0.98,1.0,0.99
DEFAULT_5000_games,100,28849484000.0,MONOTONE,36,2526504250.3999934,0.94,1.0,0.97
DEFAULT_5000_games,100,28849484000.0,MONOTONE,39,2897469269.599994,0.98,0.9,0.94
DEFAULT_5000_games,100,28849484000.0,MONOTONE,42,3293867307.1999927,0.98,0.96,0.97
DEFAULT_5000_games,100,28849484000.0,MONOTONE,45,3712567433.599995,0.96,0.9,0.9299999999999999
DEFAULT_5000_games,100,28849484000.0,MONOTONE,48,4158405640.799998,0.9199999999999999,0.88,0.9
DEFAULT_5000_games,100,28849484000.0,MONOTONE,51,4625519247.199999,0.86,0.78,0.8200000000000001
DEFAULT_5000_games,100,28849484000.0,MONOTONE,54,5119061266.400001,0.88,0.8200000000000001,0.85
DEFAULT_5000_games,100,28849484000.0,MONOTONE,57,5637702897.600006,0.88,0.74,0.81
DEFAULT_5000_games,100,28849484000.0,MONOTONE,60,6180895200.000006,0.76,0.66,0.71
DEFAULT_5000_games,100,28849484000.0,MONOTONE,63,6749006381.600003,0.74,0.58,0.66
DEFAULT_5000_games,100,28849484000.0,MONOTONE,66,7340945764.799996,0.78,0.6,0.69
DEFAULT_5000_games,100,28849484000.0,MONOTONE,69,7957364953.599991,0.8200000000000001,0.6799999999999999,0.75
DEFAULT_5000_games,100,28849484000.0,MONOTONE,72,8598910012.79999,0.76,0.58,0.67
DEFAULT_5000_games,100,28849484000.0,MONOTONE,75,9265324078.39999,0.62,0.56,0.59
DEFAULT_5000_games,100,28849484000.0,MONOTONE,78,9955289664.799986,0.6799999999999999,0.58,0.63
DEFAULT_5000_games,100,28849484000.0,MONOTONE,81,10670176098.399988,0.62,0.46,0.54
DEFAULT_5000_games,100,28849484000.0,MONOTONE,84,11410503347.999983,0.48,0.56,0.52
DEFAULT_5000_games,100,28849484000.0,MONOTONE,87,12169301267.999989,0.54,0.44,0.49
