run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,0,0,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,3,809122793.0000076,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,6,1751637815.0000052,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,9,2724774974.000004,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,12,3723083081.000003,1.0,1.0,1.0
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,15,4764066202.000007,1.0,0.96,0.98
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,18,5843913828.000007,0.98,0.94,0.96
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,21,6956225423.000007,0.94,0.96,0.95
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,24,8093715233.000008,0.9199999999999999,0.88,0.9
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,27,9266500369.000013,0.9199999999999999,0.74,0.8300000000000001
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,30,10459400054.000027,0.9199999999999999,0.8200000000000001,0.87
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,33,11680901627.000021,0.8,0.74,0.77
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,36,12922344213.000021,0.8400000000000001,0.86,0.85
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,39,14186544822.000029,0.78,0.6799999999999999,0.73
DEFAULT_5000_games,100,28849484000.0,RANDOM_CAP_more_games,42,15483964424.000029,0.78,0.66,0.72
