run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,0,0,0.9199999999999999,0.96,0.94
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,3,248133600,1.0,0.88,0.94
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,6,522753000,0.96,0.86,0.9099999999999999
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,9,825162000,0.76,0.8200000000000001,0.79
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,12,1121310600,0.86,0.74,0.8
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,15,1434327000,0.8400000000000001,0.7,0.77
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,18,1759497600,0.86,0.74,0.8
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,21,2089773600,0.72,0.74,0.73
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,24,2424886200,0.74,0.7,0.72
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,27,2755878000,0.72,0.66,0.69
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,30,3101266200,0.74,0.66,0.7
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,33,3454783800,0.72,0.64,0.6799999999999999
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,36,3808151400,0.7,0.56,0.63
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,39,4164141600,0.62,0.56,0.59
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,42,4487512800,0.6,0.62,0.61
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,45,4832924400,0.62,0.74,0.6799999999999999
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,48,5134550400,0.64,0.6,0.62
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,51,5496423000,0.7,0.64,0.67
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,54,5828248200,0.54,0.6,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,57,6130144200,0.54,0.52,0.53
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,60,6429819000,0.56,0.58,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,63,6760980600,0.62,0.48,0.55
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,66,7099963200,0.66,0.6,0.63
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,69,7423314600,0.52,0.7,0.61
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,72,7704589800,0.56,0.46,0.51
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,75,8013573600,0.52,0.54,0.53
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,78,8338337400,0.44,0.52,0.48
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,81,8632089600,0.4,0.5,0.45
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,84,8964224400,0.54,0.58,0.56
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,87,9314364000,0.48,0.66,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,90,9608970000,0.42,0.42,0.42
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,93,9935805600,0.52,0.56,0.54
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,96,10248819600,0.33999999999999997,0.48,0.41000000000000003
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,99,10552879800,0.52,0.42,0.47
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,102,10873678200,0.44,0.44,0.44
DEFAULT_high_lr,100,11086283400.0,DYN_WINDOW_high_lr,105,11161957800,0.48,0.56,0.52
