run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,0,0,1.0,0.9199999999999999,0.96
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,3,25590028.521070175,1.0,0.9,0.95
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,6,49926465.08862913,0.9,0.74,0.8200000000000001
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,9,86222811.03902103,0.9199999999999999,0.72,0.8200000000000001
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,12,126824200.76948442,0.8400000000000001,0.62,0.73
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,15,171653209.64440084,0.66,0.6,0.63
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,18,219811604.34314886,0.52,0.44,0.48
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,21,272125504.26015615,0.48,0.6,0.54
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,24,328197362.76873493,0.72,0.5,0.61
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,27,393165840.06054515,0.52,0.46,0.49
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,30,461626228.75317365,0.56,0.46,0.51
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,33,532287197.0821869,0.56,0.32,0.44
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,36,610687780.6643314,0.46,0.36,0.41000000000000003
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,39,699065435.7965649,0.44,0.4,0.42
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,42,795047276.3339134,0.4,0.3,0.35
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,45,899216344.1896702,0.48,0.38,0.43
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,48,1014721605.7882094,0.42,0.26,0.33999999999999997
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,51,1138737571.0071025,0.36,0.32,0.33999999999999997
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,54,1277003994.9501321,0.38,0.33999999999999997,0.36
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,57,1423706850.4410982,0.28,0.28,0.28
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,60,1582700554.3292527,0.24,0.28,0.26
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,63,1760079853.0385246,0.44,0.24,0.33999999999999997
DEFAULT_high_lr,100,11086283400.0,ENDGAME_PLAYOUTS_BIG_WINDOW,66,1951324575.8902965,0.24,0.24,0.24
