run1,gen1,playouts1,run2,gen2,playouts2,r1_white_win_rate,r1_black_win_rate,r1_win_rate
DEFAULT_high_lr,100,11086283400.0,MONOTONE,0,0,1.0,1.0,1.0
DEFAULT_high_lr,100,11086283400.0,MONOTONE,3,24425275.200000286,1.0,0.9,0.95
DEFAULT_high_lr,100,11086283400.0,MONOTONE,6,55431636.00000048,1.0,0.88,0.94
DEFAULT_high_lr,100,11086283400.0,MONOTONE,9,99606158.4000001,0.9199999999999999,0.8400000000000001,0.88
DEFAULT_high_lr,100,11086283400.0,MONOTONE,12,154388286.59999952,0.9199999999999999,0.78,0.85
DEFAULT_high_lr,100,11086283400.0,MONOTONE,15,219759658.79999918,0.9,0.8200000000000001,0.86
DEFAULT_high_lr,100,11086283400.0,MONOTONE,18,293974285.7999991,0.8400000000000001,0.72,0.78
DEFAULT_high_lr,100,11086283400.0,MONOTONE,21,378853176.59999937,0.9199999999999999,0.72,0.8200000000000001
DEFAULT_high_lr,100,11086283400.0,MONOTONE,24,476198633.99999976,0.9199999999999999,0.76,0.8400000000000001
DEFAULT_high_lr,100,11086283400.0,MONOTONE,27,581793403.2000004,0.86,0.76,0.81
DEFAULT_high_lr,100,11086283400.0,MONOTONE,30,697304367.6000009,0.86,0.7,0.78
DEFAULT_high_lr,100,11086283400.0,MONOTONE,33,810065127.0000018,0.8200000000000001,0.66,0.74
DEFAULT_high_lr,100,11086283400.0,MONOTONE,36,946640762.4000012,0.66,0.64,0.65
DEFAULT_high_lr,100,11086283400.0,MONOTONE,39,1088099533.2000017,0.76,0.56,0.66
DEFAULT_high_lr,100,11086283400.0,MONOTONE,42,1234717819.200001,0.72,0.46,0.59
DEFAULT_high_lr,100,11086283400.0,MONOTONE,45,1389503017.2000017,0.78,0.56,0.67
DEFAULT_high_lr,100,11086283400.0,MONOTONE,48,1558069924.8000016,0.54,0.54,0.54
DEFAULT_high_lr,100,11086283400.0,MONOTONE,51,1734295891.8000028,0.64,0.5,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,MONOTONE,54,1912302510.6000028,0.54,0.48,0.51
DEFAULT_high_lr,100,11086283400.0,MONOTONE,57,2101334856.6000047,0.62,0.52,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,MONOTONE,60,2309811445.800006,0.56,0.44,0.5
DEFAULT_high_lr,100,11086283400.0,MONOTONE,63,2513894288.4000044,0.5,0.52,0.51
DEFAULT_high_lr,100,11086283400.0,MONOTONE,66,2732942416.8000026,0.6,0.42,0.51
DEFAULT_high_lr,100,11086283400.0,MONOTONE,69,2943347950.8000007,0.58,0.62,0.6
DEFAULT_high_lr,100,11086283400.0,MONOTONE,72,3166645089.6000004,0.66,0.76,0.71
DEFAULT_high_lr,100,11086283400.0,MONOTONE,75,3418376189.3999996,0.54,0.52,0.53
DEFAULT_high_lr,100,11086283400.0,MONOTONE,78,3670874257.7999997,0.46,0.52,0.49
DEFAULT_high_lr,100,11086283400.0,MONOTONE,81,3939680227.199999,0.48,0.5,0.49
DEFAULT_high_lr,100,11086283400.0,MONOTONE,84,4159344243.599998,0.54,0.46,0.5
DEFAULT_high_lr,100,11086283400.0,MONOTONE,87,4468999070.399999,0.58,0.42,0.5
DEFAULT_high_lr,100,11086283400.0,MONOTONE,90,4790706713.999997,0.52,0.58,0.55
DEFAULT_high_lr,100,11086283400.0,MONOTONE,93,5121921993.599996,0.52,0.48,0.5
DEFAULT_high_lr,100,11086283400.0,MONOTONE,96,5459892469.199998,0.5,0.48,0.49
DEFAULT_high_lr,100,11086283400.0,MONOTONE,99,5797396545.6,0.58,0.56,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,MONOTONE,102,6142134050.4,0.56,0.58,0.5700000000000001
DEFAULT_high_lr,100,11086283400.0,MONOTONE,105,6498124250.4,0.54,0.58,0.56
DEFAULT_high_lr,100,11086283400.0,MONOTONE,108,6856307450.4,0.6,0.44,0.52
