run,gen,playouts,white_win_rate,black_win_rate,win_rate
DEFAULT_high_lr,0,0,0.06,0.0,0.030000000000000027
DEFAULT_high_lr,3,265244400,0.18,0.03999999999999998,0.10999999999999999
DEFAULT_high_lr,6,550650600,0.09999999999999998,0.09999999999999998,0.09999999999999998
DEFAULT_high_lr,9,843490800,0.03999999999999998,0.08000000000000002,0.06
DEFAULT_high_lr,12,1144806600,0.12,0.12,0.12
DEFAULT_high_lr,15,1457005800,0.15999999999999998,0.08000000000000002,0.12
DEFAULT_high_lr,18,1791232800,0.2,0.08000000000000002,0.14
DEFAULT_high_lr,21,2113864800,0.2,0.14,0.16999999999999998
DEFAULT_high_lr,24,2438372400,0.24,0.15999999999999998,0.2
DEFAULT_high_lr,27,2779006800,0.33999999999999997,0.18,0.26
DEFAULT_high_lr,30,3113058000,0.36,0.14,0.25
DEFAULT_high_lr,33,3445368000,0.36,0.2,0.28
DEFAULT_high_lr,36,3779130600,0.38,0.15999999999999998,0.27
DEFAULT_high_lr,39,4105689000,0.4,0.18,0.29000000000000004
DEFAULT_high_lr,42,4427173200,0.36,0.09999999999999998,0.22999999999999998
DEFAULT_high_lr,45,4753425000,0.52,0.14,0.32999999999999996
DEFAULT_high_lr,48,5062577400,0.4,0.21999999999999997,0.31
DEFAULT_high_lr,51,5422104600,0.48,0.12,0.3
DEFAULT_high_lr,54,5785305000,0.5,0.26,0.38
DEFAULT_high_lr,57,6148634400,0.5,0.24,0.37
DEFAULT_high_lr,60,6497353800,0.54,0.21999999999999997,0.38
DEFAULT_high_lr,63,6845928600,0.52,0.26,0.39
DEFAULT_high_lr,66,7169203800,0.44,0.21999999999999997,0.32999999999999996
DEFAULT_high_lr,69,7534076400,0.52,0.21999999999999997,0.37
DEFAULT_high_lr,72,7899786600,0.52,0.21999999999999997,0.37
DEFAULT_high_lr,75,8263584600,0.5,0.14,0.32
DEFAULT_high_lr,78,8629599600.0,0.46,0.26,0.36
DEFAULT_high_lr,81,8957692200.0,0.48,0.21999999999999997,0.35
DEFAULT_high_lr,84,9294741000.0,0.48,0.2,0.33999999999999997
DEFAULT_high_lr,87,9626268600.0,0.5,0.26,0.38
DEFAULT_high_lr,90,9955312800.0,0.52,0.21999999999999997,0.37
DEFAULT_high_lr,93,10284993600.0,0.44,0.26,0.35
DEFAULT_high_lr,96,10642741800.0,0.48,0.24,0.36
DEFAULT_high_lr,99,10968054000.0,0.4,0.26,0.32999999999999996
DEFAULT_high_lr,102,11303523000.0,0.46,0.21999999999999997,0.33999999999999997
