run,gen,playouts,white_win_rate,black_win_rate,win_rate
ENDGAME_PLAYOUTS_BIG_WINDOW,0,0,0.24,0.12,0.18
ENDGAME_PLAYOUTS_BIG_WINDOW,3,25590028.521070175,0.32,0.14,0.22999999999999998
ENDGAME_PLAYOUTS_BIG_WINDOW,6,49926465.08862913,0.32,0.21999999999999997,0.27
ENDGAME_PLAYOUTS_BIG_WINDOW,9,86222811.03902103,0.36,0.15999999999999998,0.26
ENDGAME_PLAYOUTS_BIG_WINDOW,12,126824200.76948442,0.46,0.24,0.35
ENDGAME_PLAYOUTS_BIG_WINDOW,15,171653209.64440084,0.44,0.26,0.35
ENDGAME_PLAYOUTS_BIG_WINDOW,18,219811604.34314886,0.52,0.3,0.41000000000000003
ENDGAME_PLAYOUTS_BIG_WINDOW,21,272125504.26015615,0.52,0.28,0.4
ENDGAME_PLAYOUTS_BIG_WINDOW,24,328197362.76873493,0.5,0.24,0.37
ENDGAME_PLAYOUTS_BIG_WINDOW,27,393165840.06054515,0.52,0.3,0.41000000000000003
ENDGAME_PLAYOUTS_BIG_WINDOW,30,461626228.75317365,0.48,0.26,0.37
ENDGAME_PLAYOUTS_BIG_WINDOW,33,532287197.0821869,0.46,0.28,0.37
ENDGAME_PLAYOUTS_BIG_WINDOW,36,610687780.6643314,0.46,0.3,0.38
ENDGAME_PLAYOUTS_BIG_WINDOW,39,699065435.7965649,0.46,0.26,0.36
ENDGAME_PLAYOUTS_BIG_WINDOW,42,795047276.3339134,0.52,0.28,0.4
ENDGAME_PLAYOUTS_BIG_WINDOW,45,899216344.1896702,0.58,0.3,0.44
ENDGAME_PLAYOUTS_BIG_WINDOW,48,1014721605.7882094,0.54,0.33999999999999997,0.44
ENDGAME_PLAYOUTS_BIG_WINDOW,51,1138737571.0071025,0.58,0.28,0.43
ENDGAME_PLAYOUTS_BIG_WINDOW,54,1277003994.9501321,0.56,0.26,0.41000000000000003
ENDGAME_PLAYOUTS_BIG_WINDOW,57,1423706850.4410982,0.52,0.3,0.41000000000000003
