run,gen,playouts,white_win_rate,black_win_rate,win_rate
ENDGAME_normal_window,0,0,0.020000000000000018,0.0,0.010000000000000009
ENDGAME_normal_window,3,25239998.9929429,0.08000000000000002,0.0,0.03999999999999998
ENDGAME_normal_window,6,55686202.71350679,0.12,0.12,0.12
ENDGAME_normal_window,9,93600626.18898691,0.09999999999999998,0.14,0.12
ENDGAME_normal_window,12,135474237.45465577,0.28,0.15999999999999998,0.21999999999999997
ENDGAME_normal_window,15,181576850.89838442,0.4,0.15999999999999998,0.28
ENDGAME_normal_window,18,235345152.411978,0.38,0.14,0.26
ENDGAME_normal_window,21,293539654.34211165,0.42,0.21999999999999997,0.32
ENDGAME_normal_window,24,351270725.91988206,0.48,0.14,0.31
ENDGAME_normal_window,27,416045261.89521813,0.48,0.24,0.36
ENDGAME_normal_window,30,487705852.8280269,0.46,0.3,0.38
ENDGAME_normal_window,33,564128550.6188147,0.42,0.3,0.36
ENDGAME_normal_window,36,647805024.8471268,0.5,0.21999999999999997,0.36
ENDGAME_normal_window,39,736361190.8792577,0.44,0.3,0.37
ENDGAME_normal_window,42,835384422.218871,0.52,0.28,0.4
ENDGAME_normal_window,45,943966977.1771712,0.56,0.32,0.44
ENDGAME_normal_window,48,1062625876.6821141,0.58,0.32,0.45
ENDGAME_normal_window,51,1192198700.693554,0.52,0.3,0.41000000000000003
ENDGAME_normal_window,54,1332761074.515578,0.52,0.33999999999999997,0.43
ENDGAME_normal_window,57,1486783414.697156,0.56,0.32,0.44
ENDGAME_normal_window,60,1654996543.626573,0.54,0.3,0.42
ENDGAME_normal_window,63,1835951914.6384294,0.6,0.3,0.45
ENDGAME_normal_window,66,2031444362.814197,0.58,0.32,0.45
ENDGAME_normal_window,69,2247084288.250965,0.62,0.32,0.47
ENDGAME_normal_window,72,2466685553.1924515,0.62,0.32,0.47
ENDGAME_normal_window,75,2779941786.9947934,0.64,0.28,0.46
ENDGAME_normal_window,78,3015329387.9370284,0.6,0.28,0.44
ENDGAME_normal_window,81,3264347588.826204,0.66,0.28,0.47
ENDGAME_normal_window,84,3511414816.794981,0.64,0.32,0.48
ENDGAME_normal_window,87,3767727336.5438266,0.62,0.32,0.47
ENDGAME_normal_window,90,4026416593.1147127,0.58,0.32,0.45
ENDGAME_normal_window,93,4294889778.7200713,0.6,0.32,0.46
ENDGAME_normal_window,96,4576315942.649133,0.54,0.28,0.41000000000000003
ENDGAME_normal_window,99,4863609975.781224,0.6,0.32,0.46
