run,gen,playouts,white_win_rate,black_win_rate,win_rate
MONOTONE,0,0,0.03999999999999998,0.0,0.020000000000000018
MONOTONE,3,24425275.200000286,0.03999999999999998,0.020000000000000018,0.030000000000000027
MONOTONE,6,55431636.00000048,0.21999999999999997,0.06,0.14
MONOTONE,9,99606158.4000001,0.3,0.08000000000000002,0.19
MONOTONE,12,154388286.59999952,0.15999999999999998,0.08000000000000002,0.12
MONOTONE,15,219759658.79999918,0.3,0.12,0.21000000000000002
MONOTONE,18,293974285.7999991,0.21999999999999997,0.14,0.18
MONOTONE,21,378853176.59999937,0.2,0.09999999999999998,0.15000000000000002
MONOTONE,24,476198633.99999976,0.3,0.12,0.21000000000000002
MONOTONE,27,581793403.2000004,0.26,0.14,0.2
MONOTONE,30,697304367.6000009,0.33999999999999997,0.09999999999999998,0.21999999999999997
MONOTONE,33,810065127.0000018,0.32,0.12,0.21999999999999997
MONOTONE,36,946640762.4000012,0.33999999999999997,0.03999999999999998,0.19
MONOTONE,39,1088099533.2000017,0.28,0.09999999999999998,0.19
MONOTONE,42,1234717819.200001,0.38,0.14,0.26
MONOTONE,45,1389503017.2000017,0.46,0.08000000000000002,0.27
MONOTONE,48,1558069924.8000016,0.44,0.15999999999999998,0.3
MONOTONE,51,1734295891.8000028,0.36,0.18,0.27
MONOTONE,54,1912302510.6000028,0.5,0.26,0.38
MONOTONE,57,2101334856.6000047,0.48,0.2,0.33999999999999997
MONOTONE,60,2309811445.800006,0.56,0.21999999999999997,0.39
MONOTONE,63,2513894288.4000044,0.38,0.15999999999999998,0.27
MONOTONE,66,2732942416.8000026,0.46,0.18,0.32
MONOTONE,69,2943347950.8000007,0.33999999999999997,0.18,0.26
MONOTONE,72,3166645089.6000004,0.36,0.24,0.3
MONOTONE,75,3418376189.3999996,0.42,0.14,0.28
MONOTONE,78,3670874257.7999997,0.4,0.2,0.3
MONOTONE,81,3939680227.199999,0.36,0.26,0.31
MONOTONE,84,4159344243.599998,0.42,0.15999999999999998,0.29000000000000004
MONOTONE,87,4468999070.399999,0.38,0.18,0.28
MONOTONE,90,4790706713.999997,0.46,0.14,0.3
MONOTONE,93,5121921993.599996,0.36,0.15999999999999998,0.26
MONOTONE,96,5459892469.199998,0.44,0.14,0.29000000000000004
MONOTONE,99,5797396545.6,0.38,0.2,0.29000000000000004
MONOTONE,102,6142134050.4,0.38,0.15999999999999998,0.27
MONOTONE,105,6498124250.4,0.32,0.2,0.26
