,gen,error_type,error,playouts
500,0,policy_mcts_error,1.8909242629647256,0.0
503,0,rmse_mcts_value_error,0.7852609647190738,0.0
502,0,rmse_nn_value_error,0.9631019170418788,0.0
501,0,policy_prior_error,1.9461901705265046,0.0
499,0,nn_value_error,0.9275653026097419,0.0
498,0,mcts_value_error,0.6166347827115305,0.0
408,1,mcts_value_error,0.49929166498362554,79315800.0
409,1,nn_value_error,1.1068745623730956,158631600.0
410,1,policy_mcts_error,1.876569007885456,237947400.0
411,1,policy_prior_error,1.9217151979327203,317263200.0
412,1,rmse_nn_value_error,1.0520810626435093,396579000.0
413,1,rmse_mcts_value_error,0.7066057351760071,475894800.0
32,2,policy_mcts_error,1.8657672001481056,568969800.0
33,2,policy_prior_error,1.9113239319086075,662044800.0
34,2,rmse_nn_value_error,0.9815245637319245,755119800.0
35,2,rmse_mcts_value_error,0.6605355523331408,848194800.0
30,2,mcts_value_error,0.4363072158960474,941269800.0
31,2,nn_value_error,0.9633904692091448,1034344800.0
60,3,mcts_value_error,0.40949823865299156,1131123000.0
61,3,nn_value_error,0.9528610181981547,1227901200.0
62,3,policy_mcts_error,1.8624581660270692,1324679400.0
63,3,policy_prior_error,1.906257603096962,1421457600.0
64,3,rmse_nn_value_error,0.9761460025007298,1518235800.0
65,3,rmse_mcts_value_error,0.6399204940092101,1615014000.0
292,4,rmse_nn_value_error,0.9431657233844655,1706657400.0
290,4,policy_mcts_error,1.8609761060357093,1798300800.0
293,4,rmse_mcts_value_error,0.6246403190287354,1889944200.0
291,4,policy_prior_error,1.9049811636447906,1981587600.0
289,4,nn_value_error,0.889561581767342,2073231000.0
288,4,mcts_value_error,0.3901755281563204,2164874400.0
371,5,rmse_mcts_value_error,0.6144775318505743,2258877600.0
370,5,rmse_nn_value_error,0.9290946708410434,2352880800.0
368,5,policy_mcts_error,1.8584153295040131,2446884000.0
367,5,nn_value_error,0.8632169073852266,2540887200.0
366,5,mcts_value_error,0.3775826371491736,2634890400.0
369,5,policy_prior_error,1.904206078851223,2728893600.0
6,6,mcts_value_error,0.37583331103200734,2827007400.0
7,6,nn_value_error,0.8403612158388196,2925121200.0
8,6,policy_mcts_error,1.8577389673948288,3023235000.0
9,6,policy_prior_error,1.9018363900899886,3121348800.0
10,6,rmse_nn_value_error,0.9167121772065754,3219462600.0
11,6,rmse_mcts_value_error,0.6130524537362259,3317576400.0
278,7,policy_mcts_error,1.8558710557103157,3417118200.0
279,7,policy_prior_error,1.8994724138259889,3516660000.0
280,7,rmse_nn_value_error,0.8900030400913467,3616201800.0
276,7,mcts_value_error,0.36052124188311174,3715743600.0
281,7,rmse_mcts_value_error,0.600434211119846,3815285400.0
277,7,nn_value_error,0.7921054113718392,3914827200.0
74,8,policy_mcts_error,1.8544138012886047,4021732800.0
73,8,nn_value_error,0.7786399438471816,4128638400.0
72,8,mcts_value_error,0.35069141498881495,4235544000.0
