,gen,error_type,error,playouts
973,0,nn_value_error,0.931431765215652,0.0
977,0,rmse_mcts_value_error,0.780583103080096,0.0
976,0,rmse_nn_value_error,0.9651071262899533,0.0
972,0,mcts_value_error,0.6093099808141518,0.0
975,0,policy_prior_error,1.9453781599164008,0.0
974,0,policy_mcts_error,1.8895742305636405,0.0
798,1,mcts_value_error,0.5339570718166248,83314200.0
799,1,nn_value_error,1.2741451420501062,166628400.0
800,1,policy_mcts_error,1.8760895300149918,249942600.0
801,1,policy_prior_error,1.9249513409137726,333256800.0
803,1,rmse_mcts_value_error,0.7307236631016029,416571000.0
802,1,rmse_nn_value_error,1.1287803781294687,499885200.0
579,2,policy_prior_error,1.9152698085665703,589341600.0
576,2,mcts_value_error,0.4435609407174897,678798000.0
577,2,nn_value_error,1.0691689255781354,768254400.0
578,2,policy_mcts_error,1.8670496156215668,857710800.0
580,2,rmse_nn_value_error,1.034006250260672,947167200.0
581,2,rmse_mcts_value_error,0.6660037092370354,1036623600.0
950,3,policy_mcts_error,1.8608796989202498,1129097400.0
951,3,policy_prior_error,1.908776892745495,1221571200.0
952,3,rmse_nn_value_error,0.9757254564713532,1314045000.0
948,3,mcts_value_error,0.3874760206294358,1406518800.0
953,3,rmse_mcts_value_error,0.6224757189075216,1498992600.0
949,3,nn_value_error,0.9520401664062307,1591466400.0
395,4,rmse_mcts_value_error,0.6077566180541291,1680803400.0
394,4,rmse_nn_value_error,0.9358278930767118,1770140400.0
390,4,mcts_value_error,0.3693681067885925,1859477400.0
393,4,policy_prior_error,1.9046020470142364,1948814400.0
392,4,policy_mcts_error,1.8587061533451081,2038151400.0
391,4,nn_value_error,0.8757738454603974,2127488400.0
24,5,mcts_value_error,0.3639754411711849,2223703800.0
25,5,nn_value_error,0.8393215802533874,2319919200.0
26,5,policy_mcts_error,1.8565978379249573,2416134600.0
27,5,policy_prior_error,1.902940981733799,2512350000.0
28,5,rmse_nn_value_error,0.9161449559176689,2608565400.0
29,5,rmse_mcts_value_error,0.6033037718854283,2704780800.0
95,6,rmse_mcts_value_error,0.5822204615056011,2804634600.0
94,6,rmse_nn_value_error,0.9253121747733719,2904488400.0
91,6,nn_value_error,0.8562026207838273,3004342200.0
92,6,policy_mcts_error,1.8530538974165915,3104196000.0
93,6,policy_prior_error,1.8988603882074355,3204049800.0
90,6,mcts_value_error,0.33898066579579517,3303903600.0
991,7,nn_value_error,0.8173465509482458,3393046200.0
994,7,rmse_nn_value_error,0.904072204499312,3482188800.0
990,7,mcts_value_error,0.34537165015328186,3571331400.0
995,7,rmse_mcts_value_error,0.5876832906874943,3660474000.0
992,7,policy_mcts_error,1.8536050552845,3749616600.0
993,7,policy_prior_error,1.8979774963974954,3838759200.0
59,8,rmse_mcts_value_error,0.5725320212623849,3937523400.0
58,8,rmse_nn_value_error,0.9035550929259065,4036287600.0
57,8,policy_prior_error,1.8963418959975242,4135051800.0
56,8,policy_mcts_error,1.8508784955978395,4233816000.0
54,8,mcts_value_error,0.32779291537079197,4332580200.0
55,8,nn_value_error,0.8164118059523435,4431344400.0
6,9,mcts_value_error,0.34132940989964167,4536277800.0
7,9,nn_value_error,0.8125517341757894,4641211200.0
8,9,policy_mcts_error,1.8514230231523514,4746144600.0
11,9,rmse_mcts_value_error,0.5842340369232536,4851078000.0
10,9,rmse_nn_value_error,0.9014165153666697,4956011400.0
9,9,policy_prior_error,1.8963166820645332,5060944800.0
442,10,rmse_nn_value_error,0.8731779275827672,5160432600.0
441,10,policy_prior_error,1.894713246166706,5259920400.0
440,10,policy_mcts_error,1.8496197835326196,5359408200.0
439,10,nn_value_error,0.7624396932177364,5458896000.0
438,10,mcts_value_error,0.31229615723377946,5558383800.0
443,10,rmse_mcts_value_error,0.5588346421203498,5657871600.0
433,11,nn_value_error,0.801030826765978,5756038200.0
432,11,mcts_value_error,0.3426156832319377,5854204800.0
434,11,policy_mcts_error,1.8490452115893363,5952371400.0
435,11,policy_prior_error,1.894794667649269,6050538000.0
436,11,rmse_nn_value_error,0.8950032551706044,6148704600.0
437,11,rmse_mcts_value_error,0.5853338220468195,6246871200.0
248,12,policy_mcts_error,1.847867789208889,6350532600.0
247,12,nn_value_error,0.7369208980369827,6454194000.0
250,12,rmse_nn_value_error,0.858440969453918,6557855400.0
246,12,mcts_value_error,0.3220136828767641,6661516800.0
251,12,rmse_mcts_value_error,0.5674624946873266,6765178200.0
249,12,policy_prior_error,1.8925214270949364,6868839600.0
378,13,mcts_value_error,0.31273535232981875,6980190000.0
