,gen,error_type,error,playouts
621,0,policy_prior_error,1.9458652793288231,0
622,0,rmse_nn_value_error,0.9671173472800649,0
620,0,policy_mcts_error,1.8908451271176339,0
619,0,nn_value_error,0.9353159634100296,0
618,0,mcts_value_error,0.6156271564204343,0
623,0,rmse_mcts_value_error,0.7846191155079223,0
508,1,rmse_nn_value_error,1.0543389643409113,73847400
507,1,policy_prior_error,1.9260538813591004,147694800
506,1,policy_mcts_error,1.8751240105986595,221542200
509,1,rmse_mcts_value_error,0.6854899629637793,295389600
504,1,mcts_value_error,0.46989648932408357,369237000
505,1,nn_value_error,1.1116306517274654,443084400
362,2,policy_mcts_error,1.8641479828357697,531940200
364,2,rmse_nn_value_error,0.961596566638674,620796000
363,2,policy_prior_error,1.911551859331131,709651800
361,2,nn_value_error,0.9246679569712858,798507600
360,2,mcts_value_error,0.39609002258757325,887363400
365,2,rmse_mcts_value_error,0.6293568324786609,976219200
595,3,nn_value_error,1.0333852654051379,1061649600
599,3,rmse_mcts_value_error,0.6704710259892586,1147080000
598,3,rmse_nn_value_error,1.016555588939994,1232510400
597,3,policy_prior_error,1.9076163808345794,1317940800
596,3,policy_mcts_error,1.8663160148382187,1403371200
594,3,mcts_value_error,0.44953139669108905,1488801600
234,4,mcts_value_error,0.39133989407824527,1576125000
239,4,rmse_mcts_value_error,0.6255716538321132,1663448400
235,4,nn_value_error,0.9484029488436662,1750771800
237,4,policy_prior_error,1.9020313112139702,1838095200
236,4,policy_mcts_error,1.8607931859493256,1925418600
238,4,rmse_nn_value_error,0.9738598199143788,2012742000
12,5,mcts_value_error,0.3889172411118579,2106636000
14,5,policy_mcts_error,1.8600643584370613,2200530000
15,5,policy_prior_error,1.9012143941640853,2294424000
16,5,rmse_nn_value_error,0.9866726453434748,2388318000
17,5,rmse_mcts_value_error,0.6236322963989741,2482212000
13,5,nn_value_error,0.9735229090690903,2576106000
54,6,mcts_value_error,0.36746096919652965,2669508000
55,6,nn_value_error,0.8735157020818036,2762910000
59,6,rmse_mcts_value_error,0.6061855897301829,2856312000
58,6,rmse_nn_value_error,0.9346206193326807,2949714000
57,6,policy_prior_error,1.9006133128643037,3043116000
56,6,policy_mcts_error,1.8556044148921966,3136518000
641,7,rmse_mcts_value_error,0.5879857335041282,3237999600
640,7,rmse_nn_value_error,0.9310003291906414,3339481200
639,7,policy_prior_error,1.898647895026207,3440962800
638,7,policy_mcts_error,1.8555757899641991,3542444400
637,7,nn_value_error,0.8667616129530825,3643926000
636,7,mcts_value_error,0.3457272228043877,3745407600
35,8,rmse_mcts_value_error,0.57825433617276,3845739000
34,8,rmse_nn_value_error,0.9101815012467609,3946070400
33,8,policy_prior_error,1.8968336508870125,4046401800
32,8,policy_mcts_error,1.8523719331622124,4146733200
31,8,nn_value_error,0.8284303652118075,4247064600
30,8,mcts_value_error,0.33437807730259933,4347396000
0,9,mcts_value_error,0.341573625593912,4447992000
1,9,nn_value_error,0.8143999824498298,4548588000
2,9,policy_mcts_error,1.85378507219553,4649184000
3,9,policy_prior_error,1.8968443008542062,4749780000
4,9,rmse_nn_value_error,0.902441124090558,4850376000
5,9,rmse_mcts_value_error,0.5844430045726546,4950972000
270,10,mcts_value_error,0.33145976517822473,5045440800
272,10,policy_mcts_error,1.851073484647274,5139909600
273,10,policy_prior_error,1.894468891263008,5234378400
274,10,rmse_nn_value_error,0.9102479470721689,5328847200
275,10,rmse_mcts_value_error,0.575725425162225,5423316000
271,10,nn_value_error,0.828551325149098,5517784800
264,11,mcts_value_error,0.3194100456638363,5610267600
265,11,nn_value_error,0.8028064859687098,5702750400
266,11,policy_mcts_error,1.8500202407360078,5795233200
267,11,policy_prior_error,1.8897992856502532,5887716000
268,11,rmse_nn_value_error,0.8959946908150237,5980198800
269,11,rmse_mcts_value_error,0.5651637335001568,6072681600
160,12,rmse_nn_value_error,0.903635996270092,6181878600
159,12,policy_prior_error,1.8880308565855026,6291075600
158,12,policy_mcts_error,1.849419353544712,6400272600
161,12,rmse_mcts_value_error,0.5828287410268733,6509469600
157,12,nn_value_error,0.8165580137550416,6618666600
156,12,mcts_value_error,0.3396893413669702,6727863600
223,13,nn_value_error,0.8320057814502471,6839730000
226,13,rmse_nn_value_error,0.9121435092408688,6951596400
225,13,policy_prior_error,1.890302925670147,7063462800
224,13,policy_mcts_error,1.849885676395893,7175329200
222,13,mcts_value_error,0.3561750185752017,7287195600
227,13,rmse_mcts_value_error,0.5968040034845625,7399062000
214,14,rmse_nn_value_error,0.8866127700305042,7486826400
210,14,mcts_value_error,0.33193383682808103,7574590800
211,14,nn_value_error,0.7860822039811637,7662355200
212,14,policy_mcts_error,1.848573962020874,7750119600
213,14,policy_prior_error,1.8878840721726418,7837884000
215,14,rmse_mcts_value_error,0.5761369948441786,7925648400
120,15,mcts_value_error,0.3214029467070126,8039034000
122,15,policy_mcts_error,1.8480462557554245,8152419600
123,15,policy_prior_error,1.8844799215316772,8265805200
124,15,rmse_nn_value_error,0.8658927178207276,8379190800
125,15,rmse_mcts_value_error,0.5669241101831995,8492576400
