,gen,error_type,error,playouts
506,0,policy_mcts_error,1.8907495365381242,0.0
509,0,rmse_mcts_value_error,0.7818413710615458,0.0
508,0,rmse_nn_value_error,0.9665316837770841,0.0
507,0,policy_prior_error,1.9463850882053375,0.0
505,0,nn_value_error,0.9341834957449653,0.0
504,0,mcts_value_error,0.6112759295033978,0.0
414,1,mcts_value_error,0.5508509106495116,11561131.29234627
415,1,nn_value_error,1.060058917254112,23122262.58469254
416,1,policy_mcts_error,1.8913479264378548,34683393.877038814
417,1,policy_prior_error,1.9392286007642745,46244525.16938508
418,1,rmse_nn_value_error,1.0295916264491043,57805656.46173135
419,1,rmse_mcts_value_error,0.7421933108358709,69366787.75407763
32,2,policy_mcts_error,1.8724452882528304,74590955.26807244
33,2,policy_prior_error,1.9327112432956695,79815122.78206725
34,2,rmse_nn_value_error,0.9527864505053962,85039290.29606207
35,2,rmse_mcts_value_error,0.6467101302149432,90263457.81005688
30,2,mcts_value_error,0.4182339925226287,95487625.3240517
31,2,nn_value_error,0.9078020202666719,100711792.8380465
60,3,mcts_value_error,0.38469508043542205,104891424.2302123
61,3,nn_value_error,0.8295101795332306,109071055.6223781
62,3,policy_mcts_error,1.8644708553552627,113250687.01454389
63,3,policy_prior_error,1.9239957348108292,117430318.40670969
64,3,rmse_nn_value_error,0.9107744943361286,121609949.79887548
65,3,rmse_mcts_value_error,0.6202379224422044,125789581.19104128
292,4,rmse_nn_value_error,0.9177636718352813,130760728.59430648
290,4,policy_mcts_error,1.8664059120655059,135731875.9975717
293,4,rmse_mcts_value_error,0.637463792204919,140703023.4008369
291,4,policy_prior_error,1.9216828546881675,145674170.80410212
289,4,nn_value_error,0.8422901573405779,150645318.20736733
288,4,mcts_value_error,0.4063600863722762,155616465.61063254
377,5,rmse_mcts_value_error,0.6420535791547995,162372753.1891379
376,5,rmse_nn_value_error,0.8667801064864338,169129040.76764327
374,5,policy_mcts_error,1.8647438149809836,175885328.34614864
373,5,nn_value_error,0.7513077530006335,182641615.924654
372,5,mcts_value_error,0.4122327985054885,189397903.50315937
375,5,policy_prior_error,1.9207855429887772,196154191.08166474
6,6,mcts_value_error,0.3810015903734776,204215147.5305198
7,6,nn_value_error,0.7162839730637647,212276103.9793749
8,6,policy_mcts_error,1.8635039675116538,220337060.42822996
9,6,policy_prior_error,1.9178192705869674,228398016.87708503
10,6,rmse_nn_value_error,0.8463356149092183,236458973.3259401
11,6,rmse_mcts_value_error,0.6172532627483451,244519929.77479517
278,7,policy_mcts_error,1.86134105168581,254381944.57177955
279,7,policy_prior_error,1.915984576010704,264243959.36876392
280,7,rmse_nn_value_error,0.8532165784153684,274105974.1657483
276,7,mcts_value_error,0.3931519370097799,283967988.9627327
281,7,rmse_mcts_value_error,0.6270182908095903,293830003.75971705
277,7,nn_value_error,0.7279785296828284,303692018.5567014
74,8,policy_mcts_error,1.859993429529667,314046451.3833158
73,8,nn_value_error,0.6453353914718349,324400884.2099302
72,8,mcts_value_error,0.38039465151945284,334755317.03654456
76,8,rmse_nn_value_error,0.8033276986833174,345109749.86315894
75,8,policy_prior_error,1.9155087074637414,355464182.6897733
77,8,rmse_mcts_value_error,0.6167614218800109,365818615.5163877
577,9,nn_value_error,0.6591143614710999,377005890.47513425
579,9,policy_prior_error,1.9134382882237435,388193165.4338808
580,9,rmse_nn_value_error,0.8118585846507382,399380440.39262736
578,9,policy_mcts_error,1.85952754560709,410567715.3513739
581,9,rmse_mcts_value_error,0.6150434582217451,421754990.31012046
576,9,mcts_value_error,0.37827845550136346,432942265.268867
343,10,nn_value_error,0.63866789283829,444029818.8747512
344,10,policy_mcts_error,1.8615198150515557,455117372.4806354
346,10,rmse_nn_value_error,0.7991669993426217,466204926.0865196
342,10,mcts_value_error,0.3791935144807272,477292479.6924038
347,10,rmse_mcts_value_error,0.6157869067142685,488380033.298288
345,10,policy_prior_error,1.9122008123636245,499467586.9041722
383,11,rmse_mcts_value_error,0.6078330858410332,511810897.3552697
381,11,policy_prior_error,1.911180586707592,524154207.80636716
379,11,nn_value_error,0.632529568964305,536497518.25746465
382,11,rmse_nn_value_error,0.7953172756606668,548840828.7085621
378,11,mcts_value_error,0.3694610602430329,561184139.1596596
380,11,policy_mcts_error,1.857814564692974,573527449.6107571
153,12,policy_prior_error,1.907319002211094,585804473.7728933
155,12,rmse_mcts_value_error,0.6180985864927351,598081497.9350295
150,12,mcts_value_error,0.38204586262431706,610358522.0971657
151,12,nn_value_error,0.617737243163476,622635546.2593019
152,12,policy_mcts_error,1.8584552936911582,634912570.4214381
