,gen,error_type,error,playouts
500,0,policy_mcts_error,1.888949858880043,0.0
503,0,rmse_mcts_value_error,0.7889246546988783,0.0
502,0,rmse_nn_value_error,0.9534565388766659,0.0
501,0,policy_prior_error,1.9457527941465378,0.0
499,0,nn_value_error,0.9090793715266711,0.0
498,0,mcts_value_error,0.6224021107917443,0.0
408,1,mcts_value_error,0.49793709347848436,12867719.262631327
409,1,nn_value_error,1.0269039265953883,25735438.525262654
410,1,policy_mcts_error,1.887045403456688,38603157.78789398
411,1,policy_prior_error,1.9382270716428758,51470877.05052531
412,1,rmse_nn_value_error,1.0133626826538404,64338596.313156635
413,1,rmse_mcts_value_error,0.7056465783084932,77206315.57578796
32,2,policy_mcts_error,1.8767699997305871,83049105.7266726
33,2,policy_prior_error,1.9318405682563782,88891895.87755725
34,2,rmse_nn_value_error,0.9535210792406139,94734686.02844189
35,2,rmse_mcts_value_error,0.6498833373729367,100577476.17932653
30,2,mcts_value_error,0.4223483521949863,106420266.33021118
31,2,nn_value_error,0.9092024485561851,112263056.48109582
60,3,mcts_value_error,0.3847295180880622,118792546.06052274
61,3,nn_value_error,0.829017027347766,125322035.63994965
62,3,policy_mcts_error,1.867117891407013,131851525.21937656
63,3,policy_prior_error,1.9232919957995416,138381014.79880348
64,3,rmse_nn_value_error,0.9105037217649173,144910504.3782304
65,3,rmse_mcts_value_error,0.6202656834680299,151439993.9576573
292,4,rmse_nn_value_error,0.9053853395937544,160045141.4476754
290,4,policy_mcts_error,1.8653734573841094,168650288.9376935
293,4,rmse_mcts_value_error,0.6078018414050418,177255436.4277116
291,4,policy_prior_error,1.919346165549755,185860583.9177297
289,4,nn_value_error,0.819722613151298,194465731.4077478
288,4,mcts_value_error,0.36942307841535954,203070878.8977659
371,5,rmse_mcts_value_error,0.6218521381757256,212346632.01785013
370,5,rmse_nn_value_error,0.8399960325735427,221622385.13793436
368,5,policy_mcts_error,1.8629605187296867,230898138.25801858
367,5,nn_value_error,0.7055933347392922,240173891.3781028
366,5,mcts_value_error,0.38670008175372167,249449644.49818704
369,5,policy_prior_error,1.9159193987011909,258725397.61827126
6,6,mcts_value_error,0.4088344657474966,271290700.7287328
7,6,nn_value_error,0.6753345561627445,283856003.83919436
8,6,policy_mcts_error,1.8664351315021515,296421306.9496559
9,6,policy_prior_error,1.919994986140728,308986610.0601174
10,6,rmse_nn_value_error,0.8217874154322057,321551913.17057896
11,6,rmse_mcts_value_error,0.6394016466568542,334117216.2810405
278,7,policy_mcts_error,1.8601617656469345,346285494.2697538
279,7,policy_prior_error,1.9144396305918694,358453772.25846714
280,7,rmse_nn_value_error,0.8138058623776389,370622050.24718046
276,7,mcts_value_error,0.37178908596439014,382790328.2358938
281,7,rmse_mcts_value_error,0.6097450991720967,394958606.2246071
277,7,nn_value_error,0.6622799816402124,407126884.21332043
74,8,policy_mcts_error,1.8582086371660234,420337653.4636169
73,8,nn_value_error,0.6586380775863081,433548422.7139134
72,8,mcts_value_error,0.35797906785446715,446759191.96420985
76,8,rmse_nn_value_error,0.8115652023012742,459969961.2145063
75,8,policy_prior_error,1.916095881319046,473180730.4648028
77,8,rmse_mcts_value_error,0.5983135196988842,486391499.7150993
571,9,nn_value_error,0.6400655559650673,498926875.9515696
573,9,policy_prior_error,1.9133740941166877,511462252.18803996
574,9,rmse_nn_value_error,0.8000409714290059,523997628.4245103
572,9,policy_mcts_error,1.8584662921190263,536533004.66098064
575,9,rmse_mcts_value_error,0.6091711804722479,549068380.8974509
