,gen,error_type,error,playouts
621,0,policy_prior_error,1.9463266786575317,0.0
622,0,rmse_nn_value_error,0.9600018517213296,0.0
620,0,policy_mcts_error,1.8902565811157226,0.0
619,0,nn_value_error,0.9216035553083816,0.0
618,0,mcts_value_error,0.6168550064653011,0.0
623,0,rmse_mcts_value_error,0.7854011754926912,0.0
508,1,rmse_nn_value_error,1.137701269652918,10307820.000000129
507,1,policy_prior_error,1.940713155221939,20615640.000000257
506,1,policy_mcts_error,1.8917215481042862,30923460.000000387
509,1,rmse_mcts_value_error,0.7502484829271886,41231280.000000514
504,1,mcts_value_error,0.5628727861345479,51539100.00000064
505,1,nn_value_error,1.2943641789698617,61846920.00000077
362,2,policy_mcts_error,1.8757005188584328,68345587.20000085
364,2,rmse_nn_value_error,0.9841337601769351,74844254.40000094
363,2,policy_prior_error,1.9355886242151261,81342921.60000104
361,2,nn_value_error,0.9685192579199933,87841588.80000113
360,2,mcts_value_error,0.45521273701576553,94340256.00000122
365,2,rmse_mcts_value_error,0.6746945509011952,100838923.20000131
595,3,nn_value_error,0.8499573368051094,108457711.20000137
599,3,rmse_mcts_value_error,0.6336964192113932,116076499.20000143
598,3,rmse_nn_value_error,0.9219313080729548,123695287.2000015
597,3,policy_prior_error,1.9308800580382348,131314075.20000155
596,3,policy_mcts_error,1.8661907078027726,138932863.20000163
594,3,mcts_value_error,0.40157115172134183,146551651.2000017
234,4,mcts_value_error,0.38177491565064886,155803169.4000018
239,4,rmse_mcts_value_error,0.6178793698212045,165054687.6000019
235,4,nn_value_error,0.7896275549815216,174306205.800002
237,4,policy_prior_error,1.923911486327648,183557724.00000212
236,4,policy_mcts_error,1.8627431451797485,192809242.20000222
238,4,rmse_nn_value_error,0.8886099003395819,202060760.40000233
12,5,mcts_value_error,0.3636611423207385,212219634.00000235
14,5,policy_mcts_error,1.8586878307461738,222378507.60000238
15,5,policy_prior_error,1.919609900212288,232537381.2000024
16,5,rmse_nn_value_error,0.8783411977252856,242696254.80000243
17,5,rmse_mcts_value_error,0.6030432342052587,252855128.40000245
13,5,nn_value_error,0.7714832596214893,263014002.00000247
