,gen,error_type,error,playouts
582,0,mcts_value_error,0.6080466472580746,0.0
587,0,rmse_mcts_value_error,0.7797734589341154,0.0
586,0,rmse_nn_value_error,0.9703778357335018,0.0
585,0,policy_prior_error,1.945290956258774,0.0
584,0,policy_mcts_error,1.8898511199355126,0.0
583,0,nn_value_error,0.9416331440828349,0.0
470,1,policy_mcts_error,1.868493992316723,93321674.99999815
469,1,nn_value_error,0.9652776420774344,186643349.9999963
471,1,policy_prior_error,1.9213621133327483,279965024.99999446
468,1,mcts_value_error,0.4305041333617631,373286699.9999926
473,1,rmse_mcts_value_error,0.6561281379134437,466608374.99999076
472,1,rmse_nn_value_error,0.9824854411529131,559930049.9999889
336,2,mcts_value_error,0.39577237554986466,647520465.7499888
337,2,nn_value_error,0.8186046597483352,735110881.4999886
338,2,policy_mcts_error,1.861198851788044,822701297.2499883
339,2,policy_prior_error,1.9087198624134063,910291712.9999881
340,2,rmse_nn_value_error,0.9047677380125438,997882128.7499878
341,2,rmse_mcts_value_error,0.6291044234066906,1085472544.4999876
562,3,rmse_nn_value_error,0.8755414153844514,1186823230.4999878
563,3,rmse_mcts_value_error,0.6009636135182091,1288173916.499988
561,3,policy_prior_error,1.9020018115401267,1389524602.4999883
560,3,policy_mcts_error,1.8529328877806663,1490875288.4999886
559,3,nn_value_error,0.7665727700534085,1592225974.4999888
558,3,mcts_value_error,0.3611572647728634,1693576660.499989
214,4,rmse_nn_value_error,0.8571617332126488,1802338123.499988
215,4,rmse_mcts_value_error,0.5913401230514187,1911099586.4999871
210,4,mcts_value_error,0.34968314113046695,2019861049.4999862
211,4,nn_value_error,0.7347262368841121,2128622512.4999852
212,4,policy_mcts_error,1.8516439252853394,2237383975.4999843
213,4,policy_prior_error,1.8982466277599335,2346145438.4999833
17,5,rmse_mcts_value_error,0.5956991978038556,2454683230.4999833
16,5,rmse_nn_value_error,0.8621772797609473,2563221022.4999833
12,5,mcts_value_error,0.35485753426415706,2671758814.4999833
13,5,nn_value_error,0.7433496617359868,2780296606.4999833
14,5,policy_mcts_error,1.8506731166481971,2888834398.4999833
15,5,policy_prior_error,1.8954165138602257,2997372190.4999833
53,6,rmse_mcts_value_error,0.5875454247154759,3114945887.999984
50,6,policy_mcts_error,1.8488827781796455,3232519585.4999843
49,6,nn_value_error,0.7060249012532308,3350093282.9999847
48,6,mcts_value_error,0.3452096261040889,3467666980.499985
52,6,rmse_nn_value_error,0.8402528793483726,3585240677.9999857
51,6,policy_prior_error,1.8941126811504363,3702814375.499986
597,7,policy_prior_error,1.892031355524063,3820367209.499985
596,7,policy_mcts_error,1.8466608252882957,3937920043.4999843
595,7,nn_value_error,0.7059226212046048,4055472877.4999833
594,7,mcts_value_error,0.32874264472293235,4173025711.4999824
598,7,rmse_nn_value_error,0.8401920144851442,4290578545.4999814
599,7,rmse_mcts_value_error,0.5733608329167004,4408131379.499981
32,8,policy_mcts_error,1.8457165140867233,4531415314.499981
35,8,rmse_mcts_value_error,0.5730696004069785,4654699249.499981
34,8,rmse_nn_value_error,0.8158774942715318,4777983184.499981
33,8,policy_prior_error,1.890190403342247,4901267119.499981
31,8,nn_value_error,0.6656560856587933,5024551054.499981
30,8,mcts_value_error,0.328408766910614,5147834989.499981
5,9,rmse_mcts_value_error,0.5707340172259028,5275051108.499982
4,9,rmse_nn_value_error,0.8140671707754583,5402267227.499983
3,9,policy_prior_error,1.8909712191104888,5529483346.499984
2,9,policy_mcts_error,1.8445789651870728,5656699465.499985
1,9,nn_value_error,0.6627053585343592,5783915584.499986
0,9,mcts_value_error,0.3257373184188171,5911131703.499987
251,10,rmse_mcts_value_error,0.5610439546537608,6040315580.999986
246,10,mcts_value_error,0.3147703190535312,6169499458.499985
247,10,nn_value_error,0.6430644851949087,6298683335.999984
248,10,policy_mcts_error,1.8432306683897972,6427867213.499983
249,10,policy_prior_error,1.889055283987522,6557051090.999982
250,10,rmse_nn_value_error,0.8019130159779854,6686234968.499981
240,11,mcts_value_error,0.33329153169231,6817376750.999981
241,11,nn_value_error,0.6569203972010932,6948518533.499981
245,11,rmse_mcts_value_error,0.5773140667715537,7079660315.999981
244,11,rmse_nn_value_error,0.810506259816106,7210802098.499981
243,11,policy_prior_error,1.8883459637880324,7341943880.999981
242,11,policy_mcts_error,1.8437482441067696,7473085663.499981
145,12,nn_value_error,0.6245747054725472,7602793795.499982
146,12,policy_mcts_error,1.842179838001728,7732501927.499983
144,12,mcts_value_error,0.3198745781153261,7862210059.499984
148,12,rmse_nn_value_error,0.7903003893916206,7991918191.499985
147,12,policy_prior_error,1.8878799537181854,8121626323.499986
149,12,rmse_mcts_value_error,0.5655745557531086,8251334455.499987
201,13,policy_prior_error,1.8879375301599504,8383188745.499987
200,13,policy_mcts_error,1.840469242322445,8515043035.499987
199,13,nn_value_error,0.6033887197644701,8646897325.499987
198,13,mcts_value_error,0.30321110591368317,8778751615.499987
202,13,rmse_nn_value_error,0.776780998586133,8910605905.499987
203,13,rmse_mcts_value_error,0.5506460804488517,9042460195.499987
187,14,nn_value_error,0.6029230426676289,9174492629.999987
186,14,mcts_value_error,0.31455212361645035,9306525064.499987
188,14,policy_mcts_error,1.8416107994914055,9438557498.999987
189,14,policy_prior_error,1.8860554702043533,9570589933.499987
190,14,rmse_nn_value_error,0.7764811927327209,9702622367.999987
191,14,rmse_mcts_value_error,0.5608494660926855,9834654802.499987
118,15,rmse_nn_value_error,0.758680784489791,9967937264.999989
115,15,nn_value_error,0.5755965327540448,10101219727.49999
114,15,mcts_value_error,0.30421071047563114,10234502189.999992
119,15,rmse_mcts_value_error,0.5515529987912595,10367784652.499994
117,15,policy_prior_error,1.8848239011526107,10501067114.999996
116,15,policy_mcts_error,1.8395706942796708,10634349577.499998
589,16,nn_value_error,0.5734453777616797,10767967983.749996
588,16,mcts_value_error,0.2870623363721417,10901586389.999994
590,16,policy_mcts_error,1.8390820466041564,11035204796.249992
593,16,rmse_mcts_value_error,0.5357819858600527,11168823202.49999
592,16,rmse_nn_value_error,0.757261763039492,11302441608.749989
591,16,policy_prior_error,1.8837196962952614,11436060014.999987
480,17,mcts_value_error,0.28299331148714685,11575609286.999987
483,17,policy_prior_error,1.8820208093762398,11715158558.999987
484,17,rmse_nn_value_error,0.7499722498942901,11854707830.999987
485,17,rmse_mcts_value_error,0.5319711566308336,11994257102.999987
482,17,policy_mcts_error,1.8376808748960496,12133806374.999987
481,17,nn_value_error,0.5624583756115036,12273355646.999987
40,18,rmse_nn_value_error,0.7361207252154829,12411405185.249989
39,18,policy_prior_error,1.8807547155022621,12549454723.49999
38,18,policy_mcts_error,1.8372932197093963,12687504261.749992
41,18,rmse_mcts_value_error,0.5371386167386127,12825553799.999994
37,18,nn_value_error,0.5418737220917684,12963603338.249996
36,18,mcts_value_error,0.28851789359187036,13101652876.499998
170,19,policy_mcts_error,1.836149649310112,13242606353.999998
173,19,rmse_mcts_value_error,0.5308057999692022,13383559831.499998
172,19,rmse_nn_value_error,0.7352818360018059,13524513308.999998
168,19,mcts_value_error,0.28175479728094466,13665466786.499998
169,19,nn_value_error,0.5406393783541865,13806420263.999998
171,19,policy_prior_error,1.8800704420685768,13947373741.499998
364,20,rmse_nn_value_error,0.7258850731289384,14085894566.249998
363,20,policy_prior_error,1.8836084489703178,14224415390.999998
362,20,policy_mcts_error,1.835494292473793,14362936215.749998
361,20,nn_value_error,0.5269091393914042,14501457040.499998
365,20,rmse_mcts_value_error,0.5261629673618483,14639977865.249998
360,20,mcts_value_error,0.2768474682230255,14778498689.999998
347,21,rmse_mcts_value_error,0.5149059870146584,14924775060.0
346,21,rmse_nn_value_error,0.7109850674429617,15071051430.000002
345,21,policy_prior_error,1.8744487176656723,15217327800.000004
344,21,policy_mcts_error,1.833220289003849,15363604170.000006
343,21,nn_value_error,0.5054997661268729,15509880540.000008
342,21,mcts_value_error,0.2651281754635395,15656156910.00001
157,22,nn_value_error,0.4878235329761036,15803305144.500008
159,22,policy_prior_error,1.870716777408123,15950453379.000006
160,22,rmse_nn_value_error,0.6984436505374672,16097601613.500004
161,22,rmse_mcts_value_error,0.49567232359949137,16244749848.000002
156,22,mcts_value_error,0.2456910523825189,16391898082.5
158,22,policy_mcts_error,1.8300928288578988,16539046316.999998
463,23,nn_value_error,0.4872410665468342,16685298833.999998
464,23,policy_mcts_error,1.829422467815876,16831551350.999998
465,23,policy_prior_error,1.8706980224013328,16977803867.999998
466,23,rmse_nn_value_error,0.6980265514626461,17124056384.999998
467,23,rmse_mcts_value_error,0.4986568746938313,17270308902.0
462,23,mcts_value_error,0.24865867867941938,17416561419.0
564,24,mcts_value_error,0.23925960731048185,17564419528.5
569,24,rmse_mcts_value_error,0.48914170473440705,17712277638.0
568,24,rmse_nn_value_error,0.6976146746217367,17860135747.5
567,24,policy_prior_error,1.8687897884488105,18007993857.0
566,24,policy_mcts_error,1.8282677789092063,18155851966.5
565,24,nn_value_error,0.4866662342475915,18303710076.0
294,25,mcts_value_error,0.21729593691050955,18449279517.0
296,25,policy_mcts_error,1.8272248445868493,18594848958.0
297,25,policy_prior_error,1.8671264301180839,18740418399.0
298,25,rmse_nn_value_error,0.7001072978789619,18885987840.0
299,25,rmse_mcts_value_error,0.4661501227185396,19031557281.0
295,25,nn_value_error,0.4901502285433814,19177126722.0
286,26,rmse_nn_value_error,0.685477492780184,19326325965.75
285,26,policy_prior_error,1.866727168250084,19475525209.5
284,26,policy_mcts_error,1.8256904159307479,19624724453.25
283,26,nn_value_error,0.4698793931082072,19773923697.0
282,26,mcts_value_error,0.21412560372371664,19923122940.75
287,26,rmse_mcts_value_error,0.4627370783973515,20072322184.5
137,27,rmse_mcts_value_error,0.4653877689213412,20227960345.5
136,27,rmse_nn_value_error,0.6958688223388785,20383598506.5
135,27,policy_prior_error,1.8667425996541978,20539236667.5
132,27,mcts_value_error,0.21658577546158367,20694874828.5
133,27,nn_value_error,0.4842334179032976,20850512989.5
134,27,policy_mcts_error,1.826014594054222,21006151150.5
527,28,rmse_mcts_value_error,0.4626774432983551,21161307379.5
526,28,rmse_nn_value_error,0.6824440655099688,21316463608.5
525,28,policy_prior_error,1.8650367662906646,21471619837.5
524,28,policy_mcts_error,1.825377494597435,21626776066.5
523,28,nn_value_error,0.46572990254977464,21781932295.5
522,28,mcts_value_error,0.21407041653710257,21937088524.5
180,29,mcts_value_error,0.21593386024633746,22095831316.5
185,29,rmse_mcts_value_error,0.464686841051409,22254574108.5
