,gen,error_type,error,playouts
433,0,nn_value_error,0.931431765215652,0.0
435,0,policy_prior_error,1.9453781599164008,0.0
436,0,rmse_nn_value_error,0.9651071262899533,0.0
437,0,rmse_mcts_value_error,0.780583103080096,0.0
432,0,mcts_value_error,0.6093099808141518,0.0
434,0,policy_mcts_error,1.8895742305636405,0.0
360,1,mcts_value_error,0.5339570718166248,83314200.0
361,1,nn_value_error,1.2741451420501062,166628400.0
362,1,policy_mcts_error,1.8760895300149918,249942600.0
363,1,policy_prior_error,1.9249513409137726,333256800.0
364,1,rmse_nn_value_error,1.1287803781294687,416571000.0
365,1,rmse_mcts_value_error,0.7307236631016029,499885200.0
262,2,rmse_nn_value_error,1.034006250260672,589341600.0
263,2,rmse_mcts_value_error,0.6660037092370354,678798000.0
258,2,mcts_value_error,0.4435609407174897,768254400.0
259,2,nn_value_error,1.0691689255781354,857710800.0
260,2,policy_mcts_error,1.8670496156215668,947167200.0
261,2,policy_prior_error,1.9152698085665703,1036623600.0
408,3,mcts_value_error,0.3874760206294358,1129097400.0
411,3,policy_prior_error,1.908776892745495,1221571200.0
412,3,rmse_nn_value_error,0.9757254564713532,1314045000.0
413,3,rmse_mcts_value_error,0.6224757189075216,1406518800.0
409,3,nn_value_error,0.9520401664062307,1498992600.0
410,3,policy_mcts_error,1.8608796989202498,1591466400.0
178,4,rmse_nn_value_error,0.9358278930767118,1680803400.0
179,4,rmse_mcts_value_error,0.6077566180541291,1770140400.0
176,4,policy_mcts_error,1.8587061533451081,1859477400.0
175,4,nn_value_error,0.8757738454603974,1948814400.0
174,4,mcts_value_error,0.3693681067885925,2038151400.0
177,4,policy_prior_error,1.9046020470142364,2127488400.0
13,5,nn_value_error,0.8393215802533874,2223703800.0
17,5,rmse_mcts_value_error,0.6033037718854283,2319919200.0
16,5,rmse_nn_value_error,0.9161449559176689,2416134600.0
15,5,policy_prior_error,1.902940981733799,2512350000.0
12,5,mcts_value_error,0.3639754411711849,2608565400.0
14,5,policy_mcts_error,1.8565978379249573,2704780800.0
49,6,nn_value_error,0.8562026207838273,2804634600.0
53,6,rmse_mcts_value_error,0.5822204615056011,2904488400.0
52,6,rmse_nn_value_error,0.9253121747733719,3004342200.0
51,6,policy_prior_error,1.8988603882074355,3104196000.0
50,6,policy_mcts_error,1.8530538974165915,3204049800.0
48,6,mcts_value_error,0.33898066579579517,3303903600.0
444,7,mcts_value_error,0.34537165015328186,3393046200.0
446,7,policy_mcts_error,1.8536050552845,3482188800.0
447,7,policy_prior_error,1.8979774963974954,3571331400.0
448,7,rmse_nn_value_error,0.904072204499312,3660474000.0
449,7,rmse_mcts_value_error,0.5876832906874943,3749616600.0
445,7,nn_value_error,0.8173465509482458,3838759200.0
30,8,mcts_value_error,0.32779291537079197,3937523400.0
33,8,policy_prior_error,1.8963418959975242,4036287600.0
31,8,nn_value_error,0.8164118059523435,4135051800.0
32,8,policy_mcts_error,1.8508784955978395,4233816000.0
34,8,rmse_nn_value_error,0.9035550929259065,4332580200.0
35,8,rmse_mcts_value_error,0.5725320212623849,4431344400.0
1,9,nn_value_error,0.8125517341757894,4536277800.0
2,9,policy_mcts_error,1.8514230231523514,4641211200.0
3,9,policy_prior_error,1.8963166820645332,4746144600.0
4,9,rmse_nn_value_error,0.9014165153666697,4851078000.0
5,9,rmse_mcts_value_error,0.5842340369232536,4956011400.0
0,9,mcts_value_error,0.34132940989964167,5060944800.0
209,10,rmse_mcts_value_error,0.5588346421203498,5160432600.0
208,10,rmse_nn_value_error,0.8731779275827672,5259920400.0
207,10,policy_prior_error,1.894713246166706,5359408200.0
206,10,policy_mcts_error,1.8496197835326196,5458896000.0
205,10,nn_value_error,0.7624396932177364,5558383800.0
204,10,mcts_value_error,0.31229615723377946,5657871600.0
201,11,policy_prior_error,1.894794667649269,5756038200.0
198,11,mcts_value_error,0.3426156832319377,5854204800.0
199,11,nn_value_error,0.801030826765978,5952371400.0
203,11,rmse_mcts_value_error,0.5853338220468195,6050538000.0
202,11,rmse_nn_value_error,0.8950032551706044,6148704600.0
200,11,policy_mcts_error,1.8490452115893363,6246871200.0
131,12,rmse_mcts_value_error,0.5674624946873266,6350532600.0
128,12,policy_mcts_error,1.847867789208889,6454194000.0
129,12,policy_prior_error,1.8925214270949364,6557855400.0
126,12,mcts_value_error,0.3220136828767641,6661516800.0
127,12,nn_value_error,0.7369208980369827,6765178200.0
130,12,rmse_nn_value_error,0.858440969453918,6868839600.0
162,13,mcts_value_error,0.31273535232981875,6980190000.0
167,13,rmse_mcts_value_error,0.559227460278748,7091540400.0
166,13,rmse_nn_value_error,0.8530400790944516,7202890800.0
163,13,nn_value_error,0.7276773765414681,7314241200.0
164,13,policy_mcts_error,1.8469811052799225,7425591600.0
165,13,policy_prior_error,1.8918171226739884,7536942000.0
161,14,rmse_mcts_value_error,0.5613274379584852,7642900800.0
156,14,mcts_value_error,0.315088492605037,7748859600.0
157,14,nn_value_error,0.7265164078285595,7854818400.0
158,14,policy_mcts_error,1.8452880664110183,7960777200.0
160,14,rmse_nn_value_error,0.852359318496935,8066736000.0
159,14,policy_prior_error,1.8911941318511962,8172694800.0
101,15,rmse_mcts_value_error,0.5563490359828055,8267584800.0
100,15,rmse_nn_value_error,0.8475103966330071,8362474800.0
99,15,policy_prior_error,1.8881439176917076,8457364800.0
